acquire	szerez
across	át
act	törvény
action	akció
active	aktív
activist	aktivista
activity	tevékenység
actor	színész
actress	színésznő
actual	tényleges
actually tulajdonképpen
ad	hirdetés
adapt	alkalmazkodni
add	hozzá
addition	kiegészítés
additional	további
address	cím
adequate	megfelelő
adjust	beállítani
adjustment	beállítás
administration	adminisztráció
administrator	adminisztrátor
admire	csodál
admission	belépés
admit	beismerni
adolescent	serdülő
adopt	fogadjael
adult	felnőtt
advance	előleg
advanced	fejlett
advantage	előny
adventure	kaland
advertising	hirdető
advice	tanács
advise	tanácsol
adviser	tanácsadó
advocate	ügyvéd
affair	ügy
affect	befolyásolni
afford	engedheti meg magának
afraid	fél
African	afrikai
